slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
filebase-free,,!offer:filebase-free,"[""[Website](https://filebase.com/)""]",IPFS Pinning,["IPFS"],,,Filebase Free,S3-compatible IPFS pinning free tier.,
lighthouse-free,,!offer:lighthouse-free,"[""[Website](https://www.lighthouse.storage/)""]",IPFS Pinning,["IPFS"],,,Lighthouse Free,Filecoin-backed IPFS pinning free tier.,
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,
pinata-free,,!offer:pinata-free,,,,,,,,
pinata-picnic,,!offer:pinata-picnic,,,,,,,,
